episode_id,start_id,goal_id,image_file,x_r,y_r,yaw_r,x_g,y_g,yaw_g,dX,dY,sin_dYaw,cos_dYaw,dist_to_goal,dist_home_to_goal,odom_linear_vel,odom_angular_vel,cmd_linear_vel,cmd_angular_vel,lidar_points,marker1_id,marker1_x,marker1_y,marker1_z,marker1_yaw,marker2_id,marker2_x,marker2_y,marker2_z,marker2_yaw,marker3_id,marker3_x,marker3_y,marker3_z,marker3_yaw
1,Home,A,105839_703058.jpg,-0.005093,0.000001,-0.000005,-13.6386,2.68756,-0.054382,-13.633519,2.687497,-0.054351,0.998522,13.89588,30.576686,0,0,0,0,"[3.25, 3.268, 4.237, 3.429, 2.895, 2.516, 2.216, 1.99, 1.815, 1.667, 1.541, 1.435, 1.349, 1.271, 1.209, 1.149, 1.099, 1.055, 0.652, 0.63, 0.611, 0.594, 0.579, 0.566, 0.554, 0.544, 0.535, 0.528, 0.522, 0.516, 0.512, 0.509, 0.507, 0.506, 0.506, 0.507, 0.508, 0.511, 0.515, 0.52, 0.526, 0.533, 0.541, 0.551, 0.562, 0.575, 0.59, 0.605, 0.625, 1.008, 1.045, 1.086, 1.135, 1.19, 1.253, 1.326, 1.411, 1.505, 1.622, 1.769, 1.932, 2.158, 2.414, 2.788, 3.276, 3.926, inf, inf]",,,,,,,,,,,,,,,
1,Home,A,105839_902971.jpg,-0.006938,0.000001,-0.000008,-13.6386,2.68756,-0.054382,-13.631684,2.687448,-0.054347,0.998522,13.89407,30.576686,-0.018446,-0.000036,-1,0,"[3.25, 3.268, 4.247, 3.437, 2.901, 2.522, 2.221, 1.995, 1.819, 1.671, 1.545, 1.438, 1.352, 1.274, 1.211, 1.152, 1.102, 1.057, 0.654, 0.633, 0.613, 0.596, 0.581, 0.568, 0.556, 0.546, 0.537, 0.53, 0.523, 0.518, 0.514, 0.511, 0.509, 0.508, 0.507, 0.508, 0.51, 0.513, 0.517, 0.521, 0.527, 0.535, 0.543, 0.553, 0.564, 0.577, 0.592, 0.607, 0.627, 1.01, 1.047, 1.089, 1.137, 1.193, 1.255, 1.329, 1.415, 1.508, 1.625, 1.773, 1.936, 2.163, 2.419, 2.794, 3.283, 3.934, inf, inf]",,,,,,,,,,,,,,,
1,Home,A,105840_103058.jpg,-0.057695,0.000003,-0.000096,-13.6386,2.68756,-0.054382,-13.581164,2.686248,-0.054259,0.998527,13.844275,30.576686,-0.340302,-0.00057,-1,0,"[3.25, 3.268, 3.238, 3.657, 3.086, 2.683, 2.363, 2.122, 1.935, 1.777, 1.643, 1.529, 1.438, 1.355, 1.288, 1.225, 1.172, 1.125, 1.084, 0.695, 0.674, 0.655, 0.638, 0.624, 0.611, 0.6, 0.59, 0.582, 0.575, 0.569, 0.565, 0.561, 0.559, 0.558, 0.558, 0.559, 0.561, 0.564, 0.568, 0.573, 0.58, 0.588, 0.597, 0.607, 0.62, 0.634, 0.65, 0.668, 1.038, 1.074, 1.114, 1.158, 1.209, 1.268, 1.335, 1.413, 1.504, 1.604, 1.728, 1.885, 2.058, 2.3, 2.572, 2.971, 3.49, 4.182, inf, inf]",,,,,,,,,,,,,,,
1,Home,A,105840_302941.jpg,-0.177644,0.000025,-0.000263,-13.6386,2.68756,-0.054382,-13.461662,2.683995,-0.054093,0.998536,13.726623,30.576686,-0.686211,-0.000903,-1,-0.5,"[3.241, 3.268, 3.291, 4.179, 3.527, 3.066, 2.699, 2.424, 2.211, 2.03, 1.877, 1.747, 1.643, 1.548, 1.472, 1.399, 1.338, 1.285, 1.238, 1.197, 1.16, 0.795, 0.775, 0.758, 0.742, 0.728, 0.716, 0.707, 0.698, 0.691, 0.686, 0.682, 0.679, 0.677, 0.677, 0.678, 0.681, 0.684, 0.689, 0.696, 0.704, 0.714, 0.724, 0.737, 0.753, 0.77, 1.119, 1.149, 1.185, 1.226, 1.272, 1.322, 1.381, 1.448, 1.524, 1.613, 1.717, 1.831, 1.973, 2.152, 2.35, 2.625, 2.936, 3.39, 3.983, 4.772, inf, inf]",,,,,,,,,,,,,,,
1,Home,A,105840_502898.jpg,-0.352746,0.000977,-0.01934,-13.6386,2.68756,-0.054382,-13.335324,2.429153,-0.035035,0.999386,13.554764,30.576686,-0.906679,-0.167008,-1,-0.5,"[3.241, 3.247, 3.276, 3.304, 3.339, 3.854, 3.365, 3.003, 2.725, 2.491, 2.295, 2.129, 1.997, 1.877, 1.781, 1.69, 1.613, 1.546, 1.488, 1.436, 1.39, 1.349, 1.314, 1.283, 0.942, 0.924, 0.908, 0.895, 0.883, 0.873, 0.866, 0.86, 0.856, 0.853, 0.852, 0.853, 0.855, 0.859, 0.864, 0.871, 0.881, 0.892, 0.905, 0.92, 1.25, 1.277, 1.308, 1.341, 1.382, 1.427, 1.478, 1.535, 1.6, 1.675, 1.759, 1.858, 1.973, 2.098, 2.253, 2.448, 2.662, 2.956, 3.285, 3.759, 4.364, inf, inf, inf]",,,,,,,,,,,,,,,
1,Home,A,105840_703001.jpg,-0.545273,0.011122,-0.093788,-13.6386,2.68756,-0.054382,-13.286434,1.438472,0.039396,0.999224,13.364076,30.576686,-0.982704,-0.438281,-1,-0.5,"[3.21, 3.214, 3.237, 3.253, 3.266, 3.313, 3.341, 3.385, 3.852, 3.448, 3.119, 2.851, 2.641, 2.454, 2.307, 2.17, 2.055, 1.955, 1.87, 1.794, 1.727, 1.667, 1.615, 1.57, 1.529, 1.493, 1.461, 1.435, 1.11, 1.094, 1.081, 1.069, 1.06, 1.054, 1.049, 1.046, 1.045, 1.046, 1.05, 1.055, 1.062, 1.072, 1.083, 1.098, 1.417, 1.441, 1.47, 1.501, 1.539, 1.582, 1.63, 1.682, 1.744, 1.814, 1.891, 1.981, 2.086, 2.198, 2.334, 2.502, 2.682, 2.924, 3.184, 3.544, 3.976, 4.499, inf, inf]",,,,,,,,,,,,,,,
1,Home,A,105840_902969.jpg,-0.743127,0.039769,-0.193788,-13.6386,2.68756,-0.054382,-13.163998,0.11485,0.138955,0.990299,13.164499,30.576686,-1,-0.499999,-1,-0.5,"[3.236, 3.222, 3.217, 3.221, 3.226, 3.2, 3.273, 3.299, 3.322, 3.372, 3.421, 3.45, 3.729, 3.395, 3.138, 2.905, 2.715, 2.553, 2.416, 2.296, 2.19, 2.097, 2.016, 1.947, 1.882, 1.828, 1.778, 1.735, 1.697, 1.663, 1.636, 1.312, 1.295, 1.28, 1.269, 1.259, 1.252, 1.248, 1.246, 1.247, 1.25, 1.255, 1.263, 1.273, 1.287, 1.302, 1.621, 1.647, 1.679, 1.715, 1.756, 1.801, 1.854, 1.913, 1.979, 2.056, 2.143, 2.236, 2.347, 2.482, 2.623, 2.808, 3.001, 3.258, 3.553, 3.889, 4.356, 4.912]",,,,,,,,,,,,,,,
1,Home,A,105841_103016.jpg,-0.937132,0.088025,-0.293788,-13.6386,2.68756,-0.054382,-12.910032,-1.189937,0.237126,0.971479,12.964755,30.576686,-1,-0.499999,-1,-0.5,"[3.319, 3.3, 3.281, 3.256, 3.246, 3.244, 3.25, 3.263, 3.278, 3.315, 3.346, 3.385, 3.42, 3.484, 3.543, 3.976, 3.647, 3.375, 3.15, 2.956, 2.788, 2.644, 2.519, 2.412, 2.314, 2.23, 2.154, 2.09, 2.032, 1.979, 1.936, 1.894, 1.861, 1.831, 1.51, 1.491, 1.476, 1.465, 1.456, 1.45, 1.446, 1.446, 1.448, 1.453, 1.461, 1.472, 1.486, 1.797, 1.822, 1.851, 1.884, 1.922, 1.966, 2.016, 2.071, 2.135, 2.208, 2.285, 2.377, 2.487, 2.601, 2.748, 2.898, 3.093, 3.31, 3.55, 3.868, 4.229]",,,,,,,,,,,,,,,
1,Home,A,105841_305364.jpg,-1.125351,0.155408,-0.393788,-13.6386,2.68756,-0.054382,-12.527073,-2.462851,0.332927,0.942953,12.766879,30.576686,-1,-0.499999,-1,-0.5,"[3.459, 3.425, 3.39, 3.35, 3.336, 3.32, 3.309, 3.295, 3.295, 3.303, 3.385, 3.344, 3.369, 3.419, 3.46, 3.503, 3.573, 3.642, 3.661, 3.872, 3.599, 3.367, 3.172, 3.006, 2.856, 2.73, 2.615, 2.519, 2.432, 2.353, 2.288, 2.225, 2.173, 2.127, 2.087, 2.049, 2.019, 1.701, 1.682, 1.668, 1.656, 1.648, 1.643, 1.641, 1.643, 1.647, 1.655, 1.666, 1.97, 1.992, 2.017, 2.047, 2.082, 2.122, 2.168, 2.221, 2.281, 2.345, 2.421, 2.511, 2.604, 2.722, 2.842, 2.995, 3.163, 3.344, 3.578, 3.835]",,,,,,,,,,,,,,,
1,Home,A,105841_503064.jpg,-1.305902,0.241245,-0.493788,-13.6386,2.68756,-0.054382,-12.018949,-3.691174,0.425402,0.905005,12.572983,30.576686,-1,-0.499999,-1,-0.5,"[3.674, 3.604, 3.553, 3.5, 3.419, 3.44, 3.413, 3.384, 3.381, 3.374, 3.322, 3.37, 3.38, 3.401, 3.428, 3.46, 3.461, 3.565, 3.621, 3.677, 3.764, 3.89, 4.061, 3.799, 3.565, 3.371, 3.197, 3.052, 2.923, 2.806, 2.71, 2.616, 2.54, 2.472, 2.411, 2.353, 2.307, 2.267, 2.23, 1.907, 1.885, 1.865, 1.852, 1.841, 1.834, 1.831, 1.831, 1.835, 1.842, 2.14, 2.157, 2.178, 2.204, 2.235, 2.271, 2.313, 2.362, 2.414, 2.475, 2.549, 2.625, 2.721, 2.818, 2.94, 3.073, 3.214, 3.394, 3.587]",,,,,,,,,,,,,,,
